1. open,2. high,3. low,4. close,5. volume
186.645,187.0,182.66,183.38,163224109.0
172.51,173.415,170.89,173.03,94214915.0
169.58,172.705,169.11,169.3,50383147.0
173.33,174.99,170.0,170.33,65934776.0
173.37,176.03,173.1,173.5,68169419.0
169.88,171.34,169.18,169.3,44838354.0
169.525,170.61,168.1511,169.89,50558329.0
166.54,169.3,166.21,169.02,48251835.0
165.35,167.05,164.92,166.9,49537761.0
165.515,167.26,164.77,165.84,48116443.0
166.21,166.4,164.075,165.0,68149377.0
168.03,168.64,166.55,167.04,43122903.0
169.61,170.65,168.0,168.0,50901210.0
171.75,173.76,168.27,169.38,73711235.0
175.36,176.63,172.5,172.69,73531773.0
174.26,178.36,174.21,176.55,101670886.0
168.34,175.46,168.16,175.04,91070275.0
168.8,169.09,167.11,167.78,49709336.0
168.7,170.08,168.35,169.67,42231444.0
169.03,169.2,168.24,168.45,37216858.0
169.59,170.39,168.95,169.58,41975776.0
170.29,171.92,168.82,168.82,53355055.0
168.79,170.68,168.58,169.65,45571129.0
169.08,169.34,168.2302,168.84,49013991.0
171.19,171.25,169.475,170.03,43772506.0
171.75,172.23,170.51,171.48,65672690.0
170.41,173.6,170.11,173.31,60273265.0
170.0,171.42,169.58,169.71,57388449.0
170.565,171.94,169.45,170.85,54288328.0
171.76,173.05,170.06,172.28,71160138.0
177.05,177.49,170.84,171.37,106181270.0
175.72,178.67,175.09,178.67,53423102.0
174.34,176.605,173.03,176.08,55215244.0
175.57,177.71,173.52,173.72,75604184.0
171.17,172.62,170.285,172.62,121752699.0
172.91,174.3078,172.05,173.0,72571635.0
172.77,173.185,170.76,171.13,51948951.0
173.15,174.03,171.01,173.23,59544927.0
172.94,174.38,172.05,172.75,58929918.0
169.0,173.7,168.94,170.73,76267041.0
169.15,170.73,168.49,169.0,71765061.0
171.06,171.24,168.68,169.12,68587707.0
170.76,172.04,169.62,170.12,95132355.0
176.15,176.9,173.79,175.1,81510101.0
179.55,180.53,177.38,179.66,73563082.0
181.27,182.57,179.53,180.75,136682597.0
182.51,183.12,180.13,181.42,48953939.0
181.1,183.9225,179.56,182.63,54318851.0
182.24,182.76,180.65,181.16,40867421.0
185.01,185.04,182.23,182.52,45119677.0
183.48,184.955,182.46,184.37,52292208.0
181.94,182.8888,180.66,182.32,41529674.0
181.79,182.43,180.0,181.56,53665553.0
183.42,184.85,181.665,182.31,49752465.0
183.55,184.49,181.35,183.86,65434496.0
185.32,185.53,182.44,184.15,54630517.0
185.77,186.21,183.5128,185.04,56529529.0
188.415,188.67,186.79,187.15,41781934.0
188.65,189.99,188.0,188.85,45155216.0
189.385,189.535,187.35,188.32,40962046.0
190.64,191.05,188.61,189.41,53438955.0
186.86,189.31,186.7695,189.3,43490759.0
188.15,189.25,185.84,187.68,69668820.0
179.86,187.33,179.25,185.85,102551680.0
183.985,186.95,183.82,186.86,64885408.0
187.04,187.095,184.35,184.4,55467803.0
190.94,191.8,187.47,188.04,55859370.0
192.01,192.2,189.58,191.73,47145622.0
194.27,194.76,191.94,192.42,44594011.0
195.22,196.2675,193.1125,194.17,54822126.0
195.42,196.38,194.34,194.5,53463269.0
195.02,195.75,193.8299,195.18,42355590.0
192.3,195.33,192.26,193.89,60133852.0
189.33,191.95,188.82,191.56,68902985.0
186.09,189.14,185.83,188.63,78005754.0
181.27,182.93,180.3,182.68,47317433.0
182.16,184.26,180.934,183.63,65603041.0
186.06,186.74,185.19,185.92,40477782.0
186.54,187.05,183.62,185.59,49128408.0
184.35,186.4,183.92,186.19,46792908.0
183.92,185.15,182.73,185.14,42841809.0
182.085,185.6,181.5,185.56,59144470.0
181.99,182.76,180.17,181.18,62196924.0
182.15,183.0872,180.88,181.91,71983570.0
184.22,185.88,183.43,184.25,58414460.0
187.15,188.44,183.885,185.64,82488674.0
193.9,194.4,191.725,192.53,42672148.0
194.14,194.66,193.17,193.58,34049898.0
192.49,193.5,191.09,193.15,47899806.0
193.61,193.89,192.83,193.05,28919310.0
195.18,195.41,192.97,193.6,37149570.0
196.1,197.08,193.5,194.68,46482549.0
196.9,197.68,194.83,194.83,52242815.0
196.16,196.95,195.89,196.94,40233138.0
196.09,196.63,194.39,195.89,55751861.0
197.53,198.3999,197.0,197.57,128538401.0
198.02,199.62,196.16,198.11,66831572.0
195.09,198.0,194.85,197.96,70404183.0
193.08,194.72,191.721,194.71,52696900.0
193.11,193.49,191.42,193.18,60943699.0
